family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Bar_Range:hi@p50,LONG,aligned,standard,23777,1080.77,224.311,1146,79.1,79.2,79.1,1.204,-613.3,6,22,13,6,5,1,0,70.6,False,none
F13,Bar_Range:hi@p50,LONG,counter,standard,27407,1245.77,258.557,1295,81.9,81.9,81.9,1.374,-645.9,6,22,19,6,6,5,1,91.2,False,none
F13,Bar_Range:hi@p50,SHORT,aligned,standard,27407,1245.77,258.557,1244,78.3,78.5,78.3,1.075,-554.4,4,22,12,6,3,4,1,55.9,False,none
F13,Bar_Range:hi@p50,SHORT,counter,standard,23777,1080.77,224.311,1196,78.5,78.7,78.5,1.176,-501.2,4,22,14,6,4,4,0,64.7,False,none
F13,Bar_Range:hi@p60,LONG,aligned,standard,18798,854.45,177.34,1142,79.3,79.4,79.3,1.212,-641.4,6,22,14,6,5,1,0,73.5,False,none
F13,Bar_Range:hi@p60,LONG,counter,standard,22051,1002.32,208.028,1275,82.0,82.0,82.0,1.382,-645.9,6,22,19,6,6,5,1,91.2,False,none
F13,Bar_Range:hi@p60,SHORT,aligned,standard,22051,1002.32,208.028,1225,78.1,78.3,78.1,1.065,-740.7,4,22,13,6,3,4,1,58.8,False,none
F13,Bar_Range:hi@p60,SHORT,counter,standard,18798,854.45,177.34,1178,78.8,79.0,78.8,1.185,-492.9,4,22,14,6,4,3,0,64.7,False,none
F13,Bar_Range:hi@p70,LONG,aligned,standard,14197,645.32,133.934,1119,80.3,80.3,80.3,1.242,-641.4,6,22,14,6,5,1,0,73.5,False,none
F13,Bar_Range:hi@p70,LONG,counter,standard,16630,755.91,156.887,1236,81.8,81.8,81.8,1.358,-645.9,6,22,19,6,6,5,1,91.2,False,none
F13,Bar_Range:hi@p70,SHORT,aligned,standard,16630,755.91,156.887,1192,78.4,78.5,78.4,1.07,-810.8,4,22,13,6,3,4,1,58.8,False,none
F13,Bar_Range:hi@p70,SHORT,counter,standard,14197,645.32,133.934,1136,78.2,78.4,78.2,1.14,-634.3,4,22,14,6,4,3,0,64.7,False,none
F13,Bar_Range:hi@p80,LONG,aligned,standard,9624,437.45,90.792,1061,79.8,79.9,79.8,1.236,-640.6,5,22,14,6,5,1,0,70.6,False,none
F13,Bar_Range:hi@p80,LONG,counter,standard,11163,507.41,105.311,1159,81.3,81.3,81.3,1.31,-516.5,6,22,18,6,5,5,1,85.3,False,none
F13,Bar_Range:hi@p80,SHORT,aligned,standard,11163,507.41,105.311,1120,79.2,79.4,79.2,1.094,-800.0,4,22,13,6,2,4,1,55.9,False,none
F13,Bar_Range:hi@p80,SHORT,counter,standard,9624,437.45,90.792,1054,77.7,77.9,77.7,1.127,-591.1,4,22,13,6,5,3,0,64.7,False,none
F13,Bar_Range:hi@p90,LONG,aligned,standard,5135,233.41,48.443,897,80.7,80.8,80.7,1.28,-515.5,6,22,14,6,5,1,0,73.5,False,none
F13,Bar_Range:hi@p90,LONG,counter,standard,5640,256.36,53.208,971,82.3,82.3,82.3,1.379,-584.5,6,22,16,6,5,4,1,79.4,False,none
F13,Bar_Range:hi@p90,SHORT,aligned,standard,5640,256.36,53.208,928,79.7,79.8,79.7,1.103,-510.7,4,22,11,6,3,2,1,52.9,False,none
F13,Bar_Range:hi@p90,SHORT,counter,standard,5135,233.41,48.443,905,78.0,78.2,78.0,1.128,-555.1,5,22,13,6,5,2,0,67.6,False,none
F13,Bar_Range:hi@p95,LONG,aligned,standard,2764,125.64,26.075,680,79.7,79.7,79.7,1.294,-491.5,4,22,13,6,5,0,0,64.7,False,none
F13,Bar_Range:hi@p95,LONG,counter,standard,2890,131.36,27.264,714,79.7,79.8,79.7,1.203,-592.1,5,22,15,6,5,2,1,73.5,False,none
F13,Bar_Range:hi@p95,SHORT,aligned,standard,2890,131.36,27.264,717,78.1,78.2,78.1,1.007,-583.9,4,22,11,6,2,2,1,50.0,False,none
F13,Bar_Range:hi@p95,SHORT,counter,standard,2764,125.64,26.075,709,77.9,78.1,77.9,1.144,-433.9,4,22,12,6,4,2,0,58.8,False,none
F13,Bar_Range:hi@p97,LONG,aligned,standard,1781,80.95,16.802,527,77.2,77.2,77.2,1.107,-443.3,4,22,10,6,4,0,0,52.9,False,none
F13,Bar_Range:hi@p97,LONG,counter,standard,1777,80.77,16.764,546,80.6,80.6,80.6,1.316,-443.0,5,22,15,6,5,1,1,73.5,False,none
F13,Bar_Range:hi@p97,SHORT,aligned,standard,1777,80.77,16.764,559,79.4,79.5,79.4,1.08,-715.4,4,22,14,6,3,2,1,61.8,False,none
F13,Bar_Range:hi@p97,SHORT,counter,standard,1781,80.95,16.802,547,78.2,78.4,78.2,1.163,-538.7,5,22,14,6,5,1,0,70.6,False,none
F13,Bar_Range:hi@p99,LONG,aligned,standard,759,34.5,7.16,281,77.9,77.9,77.9,1.272,-306.0,4,22,13,6,3,0,0,58.8,False,none
F13,Bar_Range:hi@p99,LONG,counter,standard,679,30.86,6.406,261,80.5,80.4,80.5,1.333,-298.0,5,22,13,6,4,1,1,64.7,False,none
F13,Bar_Range:hi@p99,SHORT,aligned,standard,679,30.86,6.406,250,77.6,77.9,77.6,1.022,-577.8,2,22,11,6,2,1,0,44.1,False,none
F13,Bar_Range:hi@p99,SHORT,counter,standard,759,34.5,7.16,288,77.4,77.7,77.4,1.246,-389.1,5,22,14,6,3,1,0,64.7,False,none
F13,Bar_Range:lo@p50,LONG,aligned,standard,51648,2347.64,487.245,39,71.8,73.7,71.8,0.949,-89.7,1,9,5,5,2,1,0,44.4,False,none
F13,Bar_Range:lo@p50,LONG,counter,standard,47921,2178.23,452.085,65,80.0,80.0,80.0,1.665,-157.5,2,7,4,5,4,0,0,66.7,False,none
F13,Bar_Range:lo@p50,SHORT,aligned,standard,47921,2178.23,452.085,62,71.0,71.0,71.0,0.62,-170.9,1,7,2,5,1,0,0,26.7,False,none
F13,Bar_Range:lo@p50,SHORT,counter,standard,51648,2347.64,487.245,43,74.4,74.4,74.4,0.868,-182.2,2,9,5,5,2,0,0,50.0,False,none
F13,Bar_Range:lo@p40,LONG,aligned,standard,46010,2091.36,434.057,9,55.6,55.6,55.6,0.304,-63.0,1,5,2,4,1,0,0,33.3,False,none
F13,Bar_Range:lo@p40,LONG,counter,standard,42129,1914.95,397.443,21,81.0,81.0,81.0,1.572,-48.5,1,4,2,5,3,0,0,54.5,False,none
F13,Bar_Range:lo@p40,SHORT,aligned,standard,42129,1914.95,397.443,20,80.0,80.0,80.0,1.264,-38.1,2,4,3,5,2,0,0,63.6,False,none
