family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,VA_Position:hi@p50,LONG,aligned,standard,38119,1732.68,359.613,933,79.0,79.1,79.0,1.221,-351.4,6,22,15,6,5,1,0,76.5,False,none
F13,VA_Position:hi@p50,LONG,counter,standard,23378,1062.64,220.547,637,84.0,84.1,84.0,1.613,-286.8,6,22,18,6,6,3,1,88.2,False,none
F13,VA_Position:hi@p50,SHORT,aligned,standard,23378,1062.64,220.547,619,77.5,77.6,77.5,1.164,-306.0,4,22,13,6,5,2,1,64.7,False,none
F13,VA_Position:hi@p50,SHORT,counter,standard,38119,1732.68,359.613,950,77.8,78.0,77.8,1.144,-492.9,3,22,11,6,4,4,0,52.9,False,none
F13,VA_Position:hi@p60,LONG,aligned,standard,29655,1347.95,279.764,825,79.6,79.7,79.6,1.218,-378.2,5,22,15,6,5,1,0,73.5,False,none
F13,VA_Position:hi@p60,LONG,counter,standard,16940,770.0,159.811,499,83.0,83.1,83.0,1.497,-276.8,6,21,17,6,5,3,1,84.8,False,none
F13,VA_Position:hi@p60,SHORT,aligned,standard,16940,770.0,159.811,474,78.3,78.4,78.3,1.18,-306.0,5,21,12,6,5,2,1,66.7,False,none
F13,VA_Position:hi@p60,SHORT,counter,standard,29655,1347.95,279.764,840,78.7,78.9,78.7,1.221,-492.9,5,22,15,6,5,4,0,73.5,False,none
F13,VA_Position:hi@p70,LONG,aligned,standard,22495,1022.5,212.217,696,79.2,79.3,79.2,1.212,-389.7,5,22,16,6,4,1,0,73.5,False,none
F13,VA_Position:hi@p70,LONG,counter,standard,12551,570.5,118.406,400,84.0,84.1,84.0,1.662,-298.1,5,20,15,5,4,3,0,77.4,False,none
F13,VA_Position:hi@p70,SHORT,aligned,standard,12551,570.5,118.406,386,76.9,77.1,76.9,1.054,-306.0,3,20,9,5,2,2,1,45.2,False,none
F13,VA_Position:hi@p70,SHORT,counter,standard,22495,1022.5,212.217,711,77.8,78.1,77.8,1.228,-492.9,5,22,13,6,6,4,0,70.6,False,none
F13,VA_Position:hi@p80,LONG,aligned,standard,15627,710.32,147.425,543,77.9,78.3,77.9,1.174,-334.4,4,22,12,6,3,3,0,55.9,False,none
F13,VA_Position:hi@p80,LONG,counter,standard,8062,366.45,76.057,291,84.2,84.1,84.2,1.731,-294.9,5,19,13,5,4,2,0,73.3,False,none
F13,VA_Position:hi@p80,SHORT,aligned,standard,8062,366.45,76.057,277,78.3,78.6,78.3,1.07,-306.0,3,19,13,5,3,1,0,63.3,False,none
F13,VA_Position:hi@p80,SHORT,counter,standard,15627,710.32,147.425,545,78.3,78.6,78.3,1.295,-488.7,4,22,15,5,5,3,0,72.7,False,none
