family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_RangeAccel:hi@p50,LONG,aligned,standard,35736,1624.36,337.132,1017,80.5,80.6,80.5,1.282,-464.2,6,22,16,6,4,1,0,76.5,False,none
F13,Micro_RangeAccel:hi@p50,LONG,counter,standard,35994,1636.09,339.566,1070,80.2,80.2,80.2,1.24,-568.0,6,22,16,6,5,2,1,79.4,False,none
F13,Micro_RangeAccel:hi@p50,SHORT,aligned,standard,35994,1636.09,339.566,1091,78.9,79.0,78.9,1.079,-480.1,4,22,16,6,4,3,1,70.6,False,none
F13,Micro_RangeAccel:hi@p50,SHORT,counter,standard,35736,1624.36,337.132,998,79.3,79.4,79.3,1.177,-467.2,5,22,13,6,5,2,0,67.6,False,none
F13,Micro_RangeAccel:hi@p60,LONG,aligned,standard,25267,1148.5,238.368,997,80.7,80.8,80.7,1.288,-464.2,6,22,16,6,4,1,0,76.5,False,none
F13,Micro_RangeAccel:hi@p60,LONG,counter,standard,26158,1189.0,246.774,1046,80.5,80.6,80.5,1.215,-556.3,5,22,16,6,4,2,1,73.5,False,none
F13,Micro_RangeAccel:hi@p60,SHORT,aligned,standard,26158,1189.0,246.774,1070,79.0,79.1,79.0,1.072,-480.1,3,22,14,6,4,3,1,61.8,False,none
F13,Micro_RangeAccel:hi@p60,SHORT,counter,standard,25267,1148.5,238.368,982,78.9,79.2,78.9,1.172,-467.2,5,22,14,6,5,3,0,70.6,False,none
F13,Micro_RangeAccel:hi@p70,LONG,aligned,standard,16653,756.95,157.104,971,80.4,80.5,80.4,1.281,-520.2,6,22,16,6,4,1,0,76.5,False,none
F13,Micro_RangeAccel:hi@p70,LONG,counter,standard,18019,819.05,169.991,1001,80.7,80.8,80.7,1.217,-538.0,5,22,14,6,5,2,1,70.6,False,none
F13,Micro_RangeAccel:hi@p70,SHORT,aligned,standard,18019,819.05,169.991,1030,79.4,79.6,79.4,1.088,-358.0,5,22,14,6,5,3,1,70.6,False,none
