family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Efficiency_Ratio:hi@p50,LONG,aligned,standard,35268,1603.09,332.717,846,78.6,78.7,78.6,1.192,-404.5,4,22,13,6,5,1,0,64.7,False,none
F13,Efficiency_Ratio:hi@p50,LONG,counter,standard,35231,1601.41,332.368,985,82.1,82.1,82.1,1.481,-477.2,6,22,16,6,6,4,1,82.4,False,none
F13,Efficiency_Ratio:hi@p50,SHORT,aligned,standard,35231,1601.41,332.368,935,79.6,79.9,79.6,1.117,-628.8,5,22,15,6,4,4,1,70.6,False,none
F13,Efficiency_Ratio:hi@p50,SHORT,counter,standard,35268,1603.09,332.717,863,77.8,78.0,77.8,1.162,-477.3,5,22,14,6,4,3,0,67.6,False,none
F13,Efficiency_Ratio:hi@p60,LONG,aligned,standard,27505,1250.23,259.481,747,79.7,79.8,79.7,1.255,-387.2,5,22,15,6,5,1,0,73.5,False,none
F13,Efficiency_Ratio:hi@p60,LONG,counter,standard,27629,1255.86,260.651,835,80.5,80.4,80.5,1.36,-350.9,6,22,15,6,6,4,1,79.4,False,none
F13,Efficiency_Ratio:hi@p60,SHORT,aligned,standard,27629,1255.86,260.651,828,80.1,80.5,80.1,1.142,-482.3,4,22,15,6,4,4,1,67.6,False,none
F13,Efficiency_Ratio:hi@p60,SHORT,counter,standard,27505,1250.23,259.481,755,78.1,78.2,78.1,1.173,-462.1,4,22,15,6,5,1,0,70.6,False,none
F13,Efficiency_Ratio:hi@p70,LONG,aligned,standard,20276,921.64,191.283,617,80.7,81.0,80.7,1.352,-333.1,5,22,15,6,5,2,0,73.5,False,none
F13,Efficiency_Ratio:hi@p70,LONG,counter,standard,20261,920.95,191.142,677,78.9,78.8,78.9,1.195,-472.5,6,22,13,6,6,2,1,73.5,False,none
F13,Efficiency_Ratio:hi@p70,SHORT,aligned,standard,20261,920.95,191.142,673,81.3,81.5,81.3,1.217,-407.7,4,22,14,6,4,3,1,64.7,False,none
F13,Efficiency_Ratio:hi@p70,SHORT,counter,standard,20276,921.64,191.283,623,78.3,78.3,78.3,1.176,-502.9,3,22,15,6,4,0,0,64.7,False,none
