family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_VolOfVol:hi@p50,LONG,aligned,standard,41034,1865.18,387.113,797,79.9,80.1,79.9,1.262,-432.7,4,22,11,6,4,2,0,55.9,False,none
F13,Micro_VolOfVol:hi@p50,LONG,counter,standard,39859,1811.77,376.028,797,80.7,80.7,80.7,1.299,-495.9,6,22,16,6,6,3,1,82.4,False,none
F13,Micro_VolOfVol:hi@p50,SHORT,aligned,standard,39859,1811.77,376.028,812,79.3,79.5,79.3,1.06,-618.5,5,22,13,6,2,3,0,58.8,False,none
F13,Micro_VolOfVol:hi@p50,SHORT,counter,standard,41034,1865.18,387.113,807,78.3,78.5,78.3,1.221,-554.3,6,22,15,6,4,3,0,73.5,False,none
F13,Micro_VolOfVol:hi@p60,LONG,aligned,standard,33447,1520.32,315.538,711,80.5,80.6,80.5,1.296,-321.4,5,22,15,6,4,1,0,70.6,False,none
F13,Micro_VolOfVol:hi@p60,LONG,counter,standard,32078,1458.09,302.623,666,80.9,81.0,80.9,1.311,-289.5,6,22,15,6,6,3,1,79.4,False,none
F13,Micro_VolOfVol:hi@p60,SHORT,aligned,standard,32078,1458.09,302.623,689,77.6,77.8,77.6,0.99,-582.1,4,22,10,6,2,3,0,47.1,False,none
F13,Micro_VolOfVol:hi@p60,SHORT,counter,standard,33447,1520.32,315.538,710,78.6,78.8,78.6,1.251,-516.8,6,22,13,6,5,3,0,70.6,False,none
F13,Micro_VolOfVol:hi@p70,LONG,aligned,standard,25368,1153.09,239.321,615,80.3,80.6,80.3,1.293,-358.1,5,22,13,6,4,2,0,64.7,False,none
F13,Micro_VolOfVol:hi@p70,LONG,counter,standard,24071,1094.14,227.085,543,81.4,81.5,81.4,1.348,-333.9,5,22,15,6,6,3,0,76.5,False,none
F13,Micro_VolOfVol:hi@p70,SHORT,aligned,standard,24071,1094.14,227.085,541,79.9,80.1,79.9,1.079,-469.2,4,22,11,6,3,3,0,52.9,False,none
F13,Micro_VolOfVol:hi@p70,SHORT,counter,standard,25368,1153.09,239.321,604,78.0,78.2,78.0,1.194,-471.1,4,22,13,6,4,3,0,61.8,False,none
F13,Micro_VolOfVol:hi@p80,LONG,aligned,standard,16961,770.95,160.009,492,80.5,80.8,80.5,1.359,-386.5,4,22,15,6,4,2,0,67.6,False,none
F13,Micro_VolOfVol:hi@p80,LONG,counter,standard,15814,718.82,149.189,399,81.0,81.3,81.0,1.283,-287.5,4,22,15,6,6,3,0,73.5,False,none
F13,Micro_VolOfVol:hi@p80,SHORT,aligned,standard,15814,718.82,149.189,411,79.6,79.9,79.6,1.029,-534.3,5,22,12,6,3,3,0,58.8,False,none
F13,Micro_VolOfVol:hi@p80,SHORT,counter,standard,16961,770.95,160.009,489,77.3,77.6,77.3,1.17,-514.5,5,22,12,6,4,3,0,61.8,False,none
F13,Micro_VolOfVol:hi@p90,LONG,aligned,standard,8133,369.68,76.726,376,80.3,80.7,80.3,1.372,-386.5,5,22,15,6,4,2,0,70.6,False,none
F13,Micro_VolOfVol:hi@p90,LONG,counter,standard,7338,333.55,69.226,252,80.2,80.4,80.2,1.3,-203.3,4,22,16,6,5,2,0,73.5,False,none
F13,Micro_VolOfVol:hi@p90,SHORT,aligned,standard,7338,333.55,69.226,257,81.3,81.6,81.3,1.113,-469.2,3,22,13,6,3,2,0,55.9,False,none
F13,Micro_VolOfVol:hi@p90,SHORT,counter,standard,8133,369.68,76.726,383,77.5,78.0,77.5,1.162,-356.8,4,22,15,6,6,2,0,73.5,False,none
F13,Micro_VolOfVol:hi@p95,LONG,aligned,standard,3781,171.86,35.67,273,78.8,79.3,78.8,1.447,-306.0,5,22,15,6,4,2,0,70.6,False,none
F13,Micro_VolOfVol:hi@p95,LONG,counter,standard,3335,151.59,31.462,177,80.2,80.1,80.2,1.263,-192.3,4,22,13,6,5,1,0,64.7,False,none
F13,Micro_VolOfVol:hi@p95,SHORT,aligned,standard,3335,151.59,31.462,177,79.7,80.0,79.7,1.112,-469.2,2,22,13,6,3,2,0,52.9,False,none
F13,Micro_VolOfVol:hi@p95,SHORT,counter,standard,3781,171.86,35.67,282,77.3,77.6,77.3,1.151,-438.5,4,22,15,6,5,1,0,70.6,False,none
F13,Micro_VolOfVol:hi@p97,LONG,aligned,standard,2129,96.77,20.085,199,77.4,78.6,77.4,1.276,-306.0,4,22,13,6,4,3,0,61.8,False,none
F13,Micro_VolOfVol:hi@p97,LONG,counter,standard,1870,85.0,17.642,133,81.2,81.1,81.2,1.459,-153.0,5,22,13,6,5,1,0,67.6,False,none
