family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_FailedBreak:hi@p50,LONG,aligned,standard,32407,1473.05,305.726,825,82.1,82.2,82.1,1.248,-610.9,5,22,15,6,3,1,0,67.6,False,none
F13,Micro_FailedBreak:hi@p50,LONG,counter,standard,29240,1329.09,275.849,844,83.6,83.9,83.6,1.342,-425.6,6,22,15,6,6,3,1,79.4,False,none
F13,Micro_FailedBreak:hi@p50,SHORT,aligned,standard,29240,1329.09,275.849,1069,76.2,76.4,76.2,1.069,-512.6,4,22,13,6,2,2,1,55.9,False,none
F13,Micro_FailedBreak:hi@p50,SHORT,counter,standard,32407,1473.05,305.726,991,78.1,78.3,78.1,1.264,-636.1,5,22,15,6,5,2,0,73.5,False,none
F13,Micro_FailedBreak:hi@p60,LONG,aligned,standard,31409,1427.68,296.311,799,81.7,81.8,81.7,1.224,-645.1,5,22,15,6,3,1,0,67.6,False,none
F13,Micro_FailedBreak:hi@p60,LONG,counter,standard,28227,1283.05,266.292,821,83.9,84.2,83.9,1.335,-436.3,6,22,12,6,5,3,1,67.6,False,none
F13,Micro_FailedBreak:hi@p60,SHORT,aligned,standard,28227,1283.05,266.292,1042,76.0,76.2,76.0,1.06,-512.6,3,22,12,6,2,2,1,50.0,False,none
F13,Micro_FailedBreak:hi@p60,SHORT,counter,standard,31409,1427.68,296.311,969,77.7,77.9,77.7,1.256,-636.1,5,22,15,6,5,2,0,73.5,False,none
F13,Micro_FailedBreak:hi@p70,LONG,aligned,standard,24203,1100.14,228.33,719,83.2,83.3,83.2,1.266,-632.6,5,22,15,6,5,1,0,73.5,False,none
F13,Micro_FailedBreak:hi@p70,LONG,counter,standard,21026,955.73,198.358,719,84.1,84.4,84.1,1.25,-439.6,6,22,13,6,6,2,0,73.5,False,none
F13,Micro_FailedBreak:hi@p70,SHORT,aligned,standard,21026,955.73,198.358,907,76.0,76.1,76.0,1.077,-523.2,3,22,11,6,3,2,0,50.0,False,none
F13,Micro_FailedBreak:hi@p70,SHORT,counter,standard,24203,1100.14,228.33,861,76.8,76.9,76.8,1.251,-671.9,5,22,14,6,5,1,0,70.6,False,none
F13,Micro_FailedBreak:hi@p80,LONG,aligned,standard,16568,753.09,156.302,607,83.7,83.7,83.7,1.283,-645.0,5,22,13,6,4,0,0,64.7,False,none
F13,Micro_FailedBreak:hi@p80,LONG,counter,standard,13575,617.05,128.066,563,86.7,86.7,86.7,1.502,-425.4,6,22,15,6,6,0,0,79.4,False,none
F13,Micro_FailedBreak:hi@p80,SHORT,aligned,standard,13575,617.05,128.066,715,76.1,76.2,76.1,1.007,-589.6,5,22,13,6,3,1,0,61.8,False,none
F13,Micro_FailedBreak:hi@p80,SHORT,counter,standard,16568,753.09,156.302,701,75.0,75.1,75.0,1.14,-496.3,5,22,13,6,5,1,0,67.6,False,none
F13,Micro_FailedBreak:hi@p90,LONG,aligned,standard,8676,394.36,81.849,423,82.7,82.7,82.7,1.235,-500.6,4,22,13,6,3,0,0,58.8,False,none
F13,Micro_FailedBreak:hi@p90,LONG,counter,standard,6555,297.95,61.84,362,90.3,90.3,90.3,1.974,-230.9,6,22,17,6,6,0,0,85.3,False,surface
F13,Micro_FailedBreak:hi@p90,SHORT,aligned,standard,6555,297.95,61.84,421,76.7,76.7,76.7,1.025,-393.0,4,22,14,6,4,0,0,64.7,False,none
F13,Micro_FailedBreak:hi@p90,SHORT,counter,standard,8676,394.36,81.849,469,75.5,75.5,75.5,1.189,-421.1,5,22,14,6,4,0,0,67.6,False,none
F13,Micro_FailedBreak:hi@p95,LONG,aligned,standard,4644,211.09,43.811,264,81.4,81.4,81.4,1.183,-365.2,3,21,11,5,3,0,0,53.1,False,none
F13,Micro_FailedBreak:hi@p95,LONG,counter,standard,3218,146.27,30.358,214,87.9,87.9,87.9,1.539,-245.9,5,22,16,6,6,0,0,79.4,False,none
F13,Micro_FailedBreak:hi@p95,SHORT,aligned,standard,3218,146.27,30.358,230,78.7,78.7,78.7,1.118,-306.0,4,22,15,6,6,0,0,73.5,False,none
